;N1E1C1;N1E1C2;N1E1C3;N1E1C4;N1E2C1;N1E2C2;N1E2C3;N1E2C4;N1E3C1;N1E3C2;N1E3C3;N1E3C4;N1E4C1;N1E4C2;N1E4C3;N1E4C4
image;0;0.850760902869983;0.543368760995831;0.0780868716447047;0.0184097791565108;0;0;0.105574204529337;0.132608858755099;0.79402236597964;0.61794532916345;0.342468908337172;0.155113857803018;0.801697096820327;0.664646924829157;0
image;0;0.78403764019584;0.481221633386122;0.0293495436357716;0.00516572560481228;0;0.0305352307426399;0;0.175042221908197;0.822792647761247;0.699948098559955;0.140222465563944;0.727527430260334;0.8947797038342;0.613058405323017;0
image;0;0.820283500463003;0.850022329833533;0.0147806462812787;0.169010509930432;0;0.191052218477307;0;0.167140843791112;0.806661657901327;0.868466750042738;0.214280125807815;0.666628491260218;0.830364818072996;0.803814463172864;0
image;0;0.873687210857506;0.532503497302081;0.000365530476103445;0.0112272902538048;0;0;0.0673471700415799;0.0614467748926643;0.82619659117441;0.725761326811988;0;0.0677144121732856;0.861352129454979;0.763311884850795;0
image;0;0.645950210378682;0.55342575848905;0.076296241600827;0.40594749477271;0.00593973761353261;0.210635610085313;0.455778108982515;0.228356966464053;0.65556291110892;0.424761643370124;0;0.279833075444273;0.663449195912579;0.443954061498317;0
image;0;0.46240374958152;0.175239772574995;0.00892276772994894;0.0334589230244249;0;0;0.00125843363989866;0.0244783141336463;0.38956911185755;0.639641517298874;0.539930122286;0.0286370671018481;0.382823484704541;0;0
image;0;0.560677527184325;0.0869627065601366;0.11586383617075;0;0;0;0.0211329695430608;0.0527210642181978;0.608352177615929;0.560704876257936;0.0296588747923638;0.10670761987634;0.561762776684566;0.643764689852505;0
image;0;0.903586304988317;0.411162060560995;0.0000324964152391939;0.074459416637745;0;0;0;0.0520241116918511;0.813194380681296;0.740121580547113;0;0.0998726423009108;0.934275767486022;0.821712630169186;0
image;0;0.795902232800446;0.336060494935572;0.0180619995034296;0.196599729411795;0;0.148610891454478;0;0.0737693966751283;0.55449009118132;0.604905979033221;0;0.760261984077692;0.594640698232888;0.691166013310238;0
image;0;0.875279184719595;0.157751586582049;0.126329463824941;0.0485443483417825;0;0;0;0.113677879087745;0.886183092239914;0.321431288128889;0;0.407100892698187;0.871225829947534;0.498618400614771;0
image;0;0.846574888041135;0.39865836128414;0.0661679058801821;0.000121668809389588;0;0;0.000411470532379566;0.0581580906097317;0.657112400805401;0.463928304705004;0;0.0655006735665102;0.676957582954021;0.445018132644907;0
image;0;0.466022014982419;0.276328454722709;0.084942029246831;0.0131806982866029;0;0.00234260614934114;0;0.0665256355579155;0.42717849858911;0;0;0.337605880570668;0.626463129145533;0.396848746363309;0
image;0;0.0823212943549982;0.307521807521807;0.0028537098227696;0.00125871155813819;0.00813782991202346;0.00251912383644128;0.000647498651044477;0.0656909066519607;0.00195687877834853;0.359058487874465;0;0.0709472620093944;0.0374240445226873;0.149109647120214;0
image;0;0.805764542231928;0.507246235942497;0.10355194689464;0.101000514675554;0;0;0.127087284639972;0.209255629012929;0.829950227872392;0.398340403710783;0.154873686563827;0.366722211583259;0.821179241315502;0.596985004416304;0
image;0;0.469124004550626;0.36694616864496;0.0653623556267534;0.000367738010069335;0;0;0;0.0540815702070132;0.419722165593966;0.428501674107143;0;0.5592292783035;0.778414953091633;0.725532295580605;0
image;0;0.532851246419742;0.368254904853223;0.161360722035905;0.0292627541842834;0;0.0534461213111603;0;0.0850075560818281;0.577638786774224;0.357515725544068;0;0.608167150212722;0.743139179604872;0.455905502051339;0
image;0;0.904635071795253;0.328618753843407;0.00464516037664037;0.007657614060897;0;0;0;0.0925400461241759;0.89407199827549;0.499875643986498;0.0945592987737394;0.523537944221006;0.913363467779323;0.803940014387693;0
image;0;0.721446507181055;0.434677979174701;0.0245412102616281;0.134870405573073;0;0;0.154683302217568;0.110539749376325;0.841455617024826;0.412288319583153;0;0.907230709833986;0.903431697612732;0.675578126996295;0
image;0;0.650179189322788;0.359689981673793;0.133920411036732;0.0760414805038882;0;0;0.488837363365353;0.0641936169583769;0.762727851016693;0.356804151382303;0;0.770816812053926;0.766093939257997;0.301119741753253;0
image;0;0.875378236019276;0.323840680003915;0.0123910929622957;0.00739253529727429;0;0;0;0.103334248832738;0.830161601363371;0.577056743041673;0;0.261528509379909;0.94100633860875;0.785469601739597;0
image;0;0.369466527891578;0.338676865489462;0.00654178162118718;0.0150495481628406;0;0;0;0.0752434184140883;0.915877359152459;0;0;0.216862586137009;0.577569267046571;0.48349062635873;0
image;0;0.81522999304384;0.423237957981836;0.0312747289638947;0.112076985696011;0.00575279155826317;0.00395774153394402;0;0.140633444048407;0.835472599407316;0.426216999847398;0.141177926255877;0.17910854484277;0.861615551369985;0.511324507074266;0
image;0;0.689345863962036;0.459995341976555;0.165519116105887;0.203272986097558;0.0190822653989252;0.176124583070405;0.481758088095087;0.10546889671097;0.71563806374846;0.380858318636096;0.0120735592778223;0.178408521051893;0.834342815394405;0.0966462200270852;0
image;0;0.754229097814994;0.242284450713891;0.0319841106773509;0.0975472946948422;0;0.00770656957133603;0.225445352586419;0.187289146666786;0.727719893215244;0.500375234521576;0;0.713873338664839;0.762370961897793;0.586365700201077;0
image;0;0.887531926136864;0.530966177618872;0.0461296598686725;0.0537753807106599;0;0;0;0.0410870944283703;0.699924981245311;0.153677009528463;0;0.0437552091986725;0.91715374841169;0.579248040387937;0
image;0;0.844371201977547;0;0.0070385951330814;0.00445591929502771;0.0000186935105478133;0;0.00725395714967539;0.00254308096923068;0.797800120305921;0.607395891171571;0;0.0384084304821835;0.794267127464932;0.307311860784613;0
image;0;0.774999140036462;0.669489550151503;0.0544037624148464;0.00507287859438989;0;0;0.0403691444354326;0.0357158095208543;0.667254541331788;0.670622416826943;0;0.0410140677777365;0.868930877780435;0.795787369796671;0
image;0;0.873141463093001;0.813142876670198;0.0944450563145966;0.0618912265705631;0;0;0;0.0850153471668726;0.875175220820456;0.795391671520093;0.154279645403906;0.847887725523119;0.874814164076227;0.839557666357056;0
image;0;0.799523790936415;0.480449290346837;0.0722867849590454;0.0154308788083114;0;0;0;0.0664934055136457;0.799940363357543;0.191918241951158;0.234681853888452;0.0708472532538923;0.832552010196807;0.602111602378411;0
image;0;0.844344820677219;0.425416215151217;0.117494897359289;0.110358839830514;0;0;0.283776392079641;0.105440299557374;0.763952543091768;0.433699544021789;0.163607123244685;0.87215274976469;0.789728738746103;0.551689628715348;0
image;0;0.87088387222394;0;0.0248613866103603;0.103025449671443;0;0;0.225986164112401;0.00600866487305538;0.875875842740022;0.758952786848951;0;0.763762804247721;0.896663291551738;0.42684149633629;0
image;0;0.702705941088368;0.464494913164115;0.00997708647900602;0.0377061665813492;0;0;0;0.0591052532868718;0.852228155569208;0.53392094537938;0;0.378161740409521;0.875234316040607;0.597362828218195;0
image;0;0.81901582733813;0.893309385837089;0.195497984591624;0.00115968173179139;0;0;0;0.153037987603786;0.926387908861221;0.935073913193764;0.325580697887144;0.803082805592066;0.947100258276591;0.896629316678913;0
